Julia,Klein,97.75,135
Leon,Berger,79.26,122
Felix,Maier,109.16,123
Luca,Kraus,89.54,148
Gregor,Klein,84.00,200
Noah,Winter,116.38,123
Paul,Zimmer,119.58,140
Emma,Schulz,114.34,125
Max,Mustermann,98.75,190
Eva,König,105.89,174
Felix,Maier,96.16,198
Noah,Winter,93.66,175
Harald,Winter,75.94,112
Tim,Brandt,62.44,147
Anna,Schmidt,97.86,193
Julia,Klein,119.64,164
Eva,König,58.03,156
Emma,Schulz,62.96,129
Sophie,Braun,52.60,118
Nina,Koch,122.75,166
Hannah,Mustermann,109.48,110
Sophie,Braun,53.11,161
Franziska,Winter,60.65,174
Sophie,Braun,73.96,120
Mia,Vogt,59.74,119
Felix,Maier,69.88,150
Emma,Schulz,71.05,143
Nina,Koch,65.58,181
Sophie,Brand,50.51,175
Sara,Koch,99.42,121
Leon,Berger,79.27,114
Nina,Koch,82.25,184
Tom,Schröder,106.95,186
Lena,Weber,121.74,140
Jan,Neumann,91.04,187
Lena,Weber,73.17,165
Nina,Lada,103.33,114
Lena,Wand,67.49,137
Tom,Schröder,71.71,198
Felix,Maier,119.95,139
Tom,Schröder,62.10,192
Felix,Maier,105.72,166
Fritz,Wagsoner,124.60,154
Paul,Zimmer,89.89,152
Tom,Schröder,53.66,193
Noah,Herbst,72.34,151
Nina,Koch,103.17,193
Horst,Waner,100.63,186
Felix,Maier,92.22,172
Ben,Richter,111.71,183
